weight,mag_pct,subject,pen_mult,n_seizures,tp,fp,n_ref,n_hyp,sensitivity,precision,f1,fp_per_day,fp_rate_full,mean_lat_s,n_inter_h
new_decision19,80.0,chb13,10.0,12,2,4,12,8,0.16666666666666666,0.3333333333333333,0.2222222222222222,2.92326431181486,2.909090909090909,10.0,32.84
new_decision19,40.0,chb14,0.3,8,8,176,8,362,1.0,0.043478260869565216,0.08333333333333333,162.80244957389405,162.46153846153848,-7.5,25.95
new_decision19,40.0,chb14,0.5,8,7,159,8,272,0.875,0.04216867469879518,0.08045977011494253,147.07721296732475,146.76923076923077,13.714285714285714,25.95
new_decision19,40.0,chb14,1.0,8,7,124,8,175,0.875,0.05343511450381679,0.10071942446043165,114.70172583615263,114.46153846153847,13.714285714285714,25.95
new_decision19,40.0,chb14,2.0,8,6,75,8,98,0.75,0.07407407407407407,0.1348314606741573,69.37604385251167,69.23076923076924,14.666666666666666,25.95
new_decision19,40.0,chb14,5.0,8,2,26,8,31,0.25,0.07142857142857142,0.1111111111111111,24.05036186887071,24.0,-14.0,25.95
new_decision19,40.0,chb14,10.0,8,1,17,8,19,0.125,0.05555555555555555,0.07692307692307693,15.725236606569311,15.692307692307693,-16.0,25.95
new_decision19,50.0,chb14,0.3,8,7,155,8,302,0.875,0.043209876543209874,0.08235294117647059,143.37715729519078,143.0769230769231,8.0,25.95
new_decision19,50.0,chb14,0.5,8,7,138,8,228,0.875,0.04827586206896552,0.0915032679738562,127.65192068862147,127.38461538461539,13.714285714285714,25.95
new_decision19,50.0,chb14,1.0,8,7,106,8,147,0.875,0.061946902654867256,0.11570247933884298,98.05147531154982,97.84615384615385,13.714285714285714,25.95
new_decision19,50.0,chb14,2.0,8,6,61,8,83,0.75,0.08955223880597014,0.16,56.425849000042824,56.307692307692314,14.666666666666666,25.95
new_decision19,50.0,chb14,5.0,8,2,22,8,27,0.25,0.08333333333333333,0.125,20.350306196736756,20.30769230769231,-14.0,25.95
new_decision19,50.0,chb14,10.0,8,1,14,8,16,0.125,0.06666666666666667,0.08695652173913043,12.950194852468844,12.923076923076923,-16.0,25.95
